espece	sous-famille	traitement	plante	Phe	Dap	Put	AcCad	NAcHSpd	Oct	MTyr	Tyr	Spd	HSpd	Dop	Spm
R	R7	T	109	1017,11	991,75	247,09	86,41	201,94	1337	101,65	1571,13	94,19	41,75	678,7	57,84
R	R7	T	110	718,47	1081,25	259,33	255,59	214,13	2636,28	134,44	1628,86	207,3	134,27	931,69	591,33
R	R7	T	111	629,43	1361,87	324,43	120,35	356,11	2583,3	121,87	1992,59	248,31	97,37	952,01	173,06
R	R7	S	112	660,3	1143,1	132,38	109,73	106,15	263,76	20,5	2203,85	95,61	70,27	1189,26	428,96
R	R7	S	113	1088,28	1237,57	169,71	179,62	195,13	52,31	17,08	2123,16	210,49	140,85	933,69	9,05
R	R7	S	114	788,64	736,02	216,6	257,1	252,49	229,62	92,79	1288,57	168,69	100,42	850,71	251,47
R	R8	T	115	939,16	1693,22	384,27	211,1	306,61	207,85	120,65	1994,91	1045,9	228,06	820,95	406,17
R	R8	T	116	1009,42	1330,16	168,36	60,16	163,17	375,21	41,58	1260,36	244,6	123,08	975,91	157,96
R	R8	T	117	1349,74	1069,73	235,99	334,06	276,77	2976,31	63,91	992,37	82,44	80,41	1078,15	133
R	R8	T	118	1675,3	933,09	280,07	603,79	241,75	1115,09	51,97	1407,55	512,08	120,08	953,96	233,12
R	R8	S	119	1286,35	1476	213,02	318,94	210,69	1714,01	37,49	1062,81	247,59	122,92	1058,68	394,03
R	R8	S	120	1129,65	940,58	295,3	237,95	43,85	741,1	46,09	1165,96	163,85	69,79	879,22	291,1
R	R8	S	121	1181,85	1231,67	287,03	311,98	128,87	230,59	126,68	1018,93	168,05	130,53	1017,4	523,32
R	R8	S	122	1012,79	1129,68	256,87	80,35	150,76	2233,91	51,7	997,77	146,85	120,1	918,1	44,19
D	D1	T	123	218	688,82	49,1	57,16	94,62	144,94	114,87	515,95	54,73	70,06	687,44	184,24
D	D1	T	124	339,31	785,87	74,91	49,94	156,38	1195,88	125,78	954,12	42,99	103,79	639,94	303,58
D	D1	T	125	492,12	1207,88	83,43	15,17	165,85	511,61	139,05	652,49	59,38	102,91	621,56	233,58
D	D1	T	126	281,77	693,15	55,62	50,82	106,13	88,92	91,4	487,21	38,25	69,29	554,18	89,47
